rightx,righty,topx,topy,bottomx,bottomy,leftx,lefty
1000.04525566101,-7.64131546020508e-005,-7.74860382080078e-005,999.977373659611,7.43865966796875e-005,-999.977374017239,-1000.04525327682,7.67707824707031e-005
1000.04795670509,-8.33868980407715e-005,-8.44001770019531e-005,999.976023137569,8.15391540527344e-005,-999.976023614407,-1000.04795408249,8.37445259094238e-005
1000.05073595047,-9.08374786376953e-005,-9.1552734375e-005,999.974633574486,8.89301300048828e-005,-999.974633932114,-1000.0507338047,9.09566879272461e-005
1000.05359363556,-9.87052917480469e-005,-9.96589660644531e-005,999.973204612732,9.63211059570312e-005,-999.973205089569,-1000.05359172821,9.87052917480469e-005
1000.05652952194,-0.000107049942016602,-0.000107765197753906,999.971736431122,0.000104188919067383,-999.971737146378,-1000.05652785301,0.0001068115234375
1000.05954432487,-0.000115513801574707,-0.000115633010864258,999.970229268074,0.000113725662231445,-999.970230102539,-1000.05954170227,0.000115394592285156
1000.06263685226,-0.000124573707580566,-0.00012516975402832,999.968683123589,0.000122547149658203,-999.968683838844,-1000.06263446808,0.000124692916870117
1000.06580781937,-0.00013422966003418,-0.000134706497192383,999.967097640038,0.000132560729980469,-999.967098474503,-1000.06580543518,0.00013422966003418
1000.06905722618,-0.000144481658935547,-0.000144720077514648,999.96547293663,0.000142812728881836,-999.965474009514,-1000.06905412674,0.000144362449645996
1000.07238531113,-0.000154972076416016,-0.000154495239257812,999.963809013367,0.000153541564941406,-999.963810324669,-1000.07238125801,0.000154972076416016
1000.07579040527,-0.000165939331054688,-0.000166177749633789,999.962106108665,0.000164031982421875,-999.962107419968,-1000.07578754425,0.000165700912475586
1000.07927465439,-0.000177502632141113,-0.000177860260009766,999.960364222527,0.00017547607421875,-999.960365772247,-1000.07927155495,0.000177264213562012
1000.08283662796,-0.000189661979675293,-0.000190258026123047,999.958583116531,0.000187397003173828,-999.958584785461,-1000.08283424377,0.00018918514251709
1000.08647704124,-0.000202298164367676,-0.000202655792236328,999.956762671471,0.000200033187866211,-999.95676445961,-1000.0864751339,0.000201702117919922
1000.09019637108,-0.000215411186218262,-0.000215291976928711,999.954903364182,0.000213384628295898,-999.954905152321,-1000.09019374847,0.000214695930480957
1000.09399414062,-0.000229120254516602,-0.000228643417358398,999.953004837036,0.000227451324462891,-999.953006625175,-1000.09399056435,0.000228643417358398
1000.09786987305,-0.000243425369262695,-0.000242948532104492,999.951067328453,0.000241756439208984,-999.951069116592,-1000.09786558151,0.000242948532104492
1000.10182380676,-0.000258564949035645,-0.000257492065429688,999.949090361595,0.000256538391113281,-999.949092268944,-1000.10181903839,0.00025784969329834
1000.10585618019,-0.000273942947387695,-0.000272750854492188,999.94707429409,0.000272035598754883,-999.947076320648,-1000.1058511734,0.000273466110229492
1000.10996675491,-0.000290155410766602,-0.000288963317871094,999.945019006729,0.000287771224975586,-999.945021271706,-1000.10996174812,0.000289440155029297
1000.11415553093,-0.000306844711303711,-0.000305652618408203,999.942924499512,0.000304222106933594,-999.942927360535,-1000.11415052414,0.000306010246276855
1000.11842226982,-0.000324368476867676,-0.000323057174682617,999.940791130066,0.000321388244628906,-999.940793991089,-1000.11841773987,0.00032341480255127
1000.12276792526,-0.000342249870300293,-0.000340938568115234,999.938618779182,0.000339746475219727,-999.938621640205,-1000.12276268005,0.000341415405273438
1000.12719130516,-0.000361084938049316,-0.000359773635864258,999.936406970024,0.000358104705810547,-999.936410069466,-1000.12718653679,0.000360012054443359
1000.13169312477,-0.000380396842956543,-0.000378847122192383,999.934156179428,0.000377655029296875,-999.93415927887,-1000.13168811798,0.000379323959350586
