earthx,earthy,jwx,jwy
192817637.884034,7592599767.231329,-1305233288.775375,7668729592.561393
195092258.085050,7637223387.535545,-1302935675.538579,7713800643.836823
197380207.533216,7681846326.470655,-1300624598.308248,7758871006.854936
199681486.024464,7726468580.055532,-1298300057.290377,7803940677.594359
201996093.353541,7771090144.309115,-1295962052.692166,7849009652.033778
204324029.314003,7815711015.250410,-1293610584.722012,7894077926.151937
206665293.698219,7860331188.898479,-1291245653.589512,7939145495.927643
209019886.297366,7904950661.272445,-1288867259.505464,7984212357.339771
211387806.901436,7949569428.391495,-1286475402.681866,8029278506.367251
213769055.299230,7994187486.274879,-1284070083.331916,8074343938.989088
216163631.278361,8038804830.941913,-1281651301.670012,8119408651.184334
218571534.625252,8083421458.411969,-1279219057.911751,8164472638.932124
220992765.125140,8128037364.704496,-1276773352.273933,8209535898.211637
223427322.562070,8172652545.838993,-1274314184.974552,8254598425.002135
225875206.718901,8217266997.835033,-1271841556.232808,8299660215.282936
228336417.377303,8261880716.712248,-1269355466.269099,8344721265.033424
230810954.317756,8306493698.490340,-1266855915.305020,8389781570.233052
233298817.319552,8351105939.189076,-1264342903.563369,8434841126.861335
235800006.160795,8395717434.828288,-1261816431.268145,8479899930.897854
238314520.618401,8440328181.427873,-1259276498.644542,8524957978.322263
240842360.468095,8484938175.007796,-1256723105.918959,8570015265.114283
243383525.484416,8529547411.588094,-1254156253.318991,8615071787.253693
245938015.440713,8574155887.188857,-1251575941.073436,8660127540.720345
248505830.109148,8618763597.830265,-1248982169.412287,8705182521.494173
251086969.260692,8663370539.532539,-1246374938.566741,8750236725.555161
