hx0,hy0,hx1,hy1
9015.194061,-7800.821960,-1917.576965,788.881836
9049.601044,-7864.268280,-1924.220169,796.078064
9084.057800,-7928.157410,-1930.856232,803.340149
9118.563965,-7992.491852,-1937.484573,810.668213
9153.118561,-8057.274323,-1944.105164,818.062225
9187.720932,-8122.507660,-1950.717819,825.522675
9222.370026,-8188.194366,-1957.322205,833.049072
9257.065125,-8254.337036,-1963.918503,840.642761
9291.805649,-8320.938538,-1970.505951,848.303162
9326.590485,-8388.001892,-1977.084702,856.031189
9361.418991,-8455.529358,-1983.654556,863.826904
9396.290039,-8523.524445,-1990.215271,871.690491
9431.203308,-8591.989075,-1996.766678,879.622223
9466.157501,-8660.926910,-2003.308487,887.622223
9501.151764,-8730.340088,-2009.840576,895.690918
9536.185333,-8800.231659,-2016.362625,903.828583
9571.257370,-8870.604523,-2022.874435,912.035828
9606.366730,-8941.461456,-2029.375916,920.312347
9641.512665,-9012.805084,-2035.866730,928.659027
9676.694122,-9084.639160,-2042.346725,937.075592
9711.910095,-9156.965637,-2048.815582,945.562653
9747.159866,-9229.788544,-2055.273300,954.119965
9782.442322,-9303.110016,-2061.719589,962.748230
9817.756424,-9376.932953,-2068.154205,971.447876
9853.101120,-9451.260834,-2074.576965,980.218750
9888.475449,-9526.096344,-2080.987732,989.061859
9923.878479,-9601.442505,-2087.386093,997.976593
9959.309128,-9677.302338,-2093.771820,1006.963959
9994.766174,-9753.679199,-2100.144913,1016.023590
10030.248840,-9830.575653,-2106.505203,1025.156616
10065.755936,-9907.995117,-2112.852142,1034.362640
10101.286285,-9985.940216,-2119.185699,1043.641785
10136.838806,-10064.414459,-2125.505676,1052.995026
10172.412506,-10143.421204,-2131.811844,1062.422150
10208.006195,-10222.963196,-2138.104004,1071.923553
10243.618622,-10303.043396,-2144.381821,1081.500092
10279.248581,-10383.665222,-2150.645279,1091.151733
10314.895065,-10464.832092,-2156.893875,1100.878143
10350.556961,-10546.546967,-2163.127319,1110.680634
10386.232986,-10628.812897,-2169.345749,1120.558472
10421.921722,-10711.633423,-2175.548706,1130.512634
10457.622314,-10795.011536,-2181.735809,1140.543488
10493.333191,-10878.950836,-2187.907043,1150.650787
10529.052979,-10963.454071,-2194.062302,1160.835510
10564.780853,-11048.525330,-2200.201157,1171.096954
10600.515198,-11134.167572,-2206.323441,1181.436279
10636.254898,-11220.383453,-2212.428711,1191.854187
10671.998459,-11307.176910,-2218.517075,1202.350250
10707.744476,-11394.551483,-2224.588272,1212.924683
10743.491882,-11482.510437,-2230.641800,1223.578491
10779.239044,-11571.057129,-2236.677597,1234.311127
10814.984924,-11660.195099,-2242.695175,1245.123047
10850.727692,-11749.927246,-2248.694641,1256.015442
10886.466232,-11840.257843,-2254.675339,1266.987854
10922.198914,-11931.189606,-2260.637466,1278.040833
10957.924545,-12022.726868,-2266.580383,1289.174561
10993.641449,-12114.872528,-2272.504135,1300.389282
11029.347977,-12207.629913,-2278.408401,1311.685883
11065.042923,-12301.002991,-2284.292862,1323.064209
11100.724625,-12394.995331,-2290.157211,1334.524628
11136.391510,-12489.610016,-2296.001404,1346.068085
11172.042389,-12584.851471,-2301.824860,1357.693970
11207.675476,-12680.722565,-2307.627747,1369.403259
11243.289124,-12777.227539,-2313.409363,1381.195953
11278.881775,-12874.369476,-2319.169678,1393.072357
11314.451721,-12972.152252,-2324.908463,1405.032654
11349.997299,-13070.579803,-2330.625381,1417.077637
11385.517120,-13169.655792,-2336.320129,1429.207489
11421.009323,-13269.383636,-2341.992416,1441.422699
11456.472183,-13369.767670,-2347.642334,1453.723328
11491.903854,-13470.811005,-2353.269257,1466.109802
11527.302887,-13572.517822,-2358.872910,1478.582458
11562.667496,-13674.891632,-2364.453033,1491.141693
11597.995834,-13777.936493,-2370.009460,1503.788086
