earthx,earthy,probeX0,probeY0,probeX1,probeY1,probeX2,probeY2,probeX3,probeY3,probeX4,probeY4,probeX5,probeY5,probeX6,probeY6,probeX7,probeY7,probeX8,probeY8
15375074.9911224,2144640924.42032,-1991960115.78769,1673423115.85077,-1491704285.4224,1666325843.46292,-991255554.646616,1659394926.1614,-1984769674.70975,2173314676.85761,-1484469509.91031,2166144977.09845,-983795033.883407,2158973486.89299,-1977624620.76602,2673206454.72833,-1477369480.50662,2665964754.66401,-976923039.118204,2658554861.7427
16022364.7737849,2189317785.89467,-1991469182.27928,1718701944.23538,-1491202572.97968,1711458295.18794,-990734919.393887,1704387986.9459,-1984128480.04849,2218588937.9249,-1483815677.15341,2211269807.75045,-983112793.667062,2203948772.75266,-1976835075.59292,2718476162.31418,-1476569200.43033,2711082005.33331,-976103982.358868,2703512552.3773
16682999.7751097,2233994452.04503,-1990965047.62719,1763980673.4216,-1490687436.61678,1756590707.13939,-990200468.015311,1749381210.3475,-1983474065.92934,2263863005.50956,-1483148364.28028,2256394441.10406,-982416486.650839,2248923852.71978,-1976032332.02667,2763745582.70932,-1475755501.01821,2756198902.89129,-975271120.149852,2748469676.10961
17356979.9361737,2278670918.88547,-1990447711.86724,1809259299.46509,-1490158876.34672,1801723075.30589,-989652200.430612,1794374592.24777,-1982806432.41662,2309136875.66338,-1482467571.35039,2301518873.13307,-981706112.835207,2293898722.59157,-1975216390.15913,2809014711.9734,-1474928382.37668,2801315443.33185,-974424452.628956,2793426228.80662
18044305.1968636,2323347182.43012,-1989917175.03654,1854537818.42148,-1489616892.18369,1846855395.67604,-989090116.560085,1839368128.52838,-1982125579.57597,2354410544.43817,-1481773298.42442,2346643099.81129,-980981672.22064,2338873378.16514,-1974387250.08344,2854283546.16615,-1474087844.61337,2846431622.64897,-973563979.934564,2838382206.33515
18744975.4958759,2368023238.69308,-1989373437.17348,1899816226.34639,-1489061484.14311,1891987664.2384,-988514216.324595,1884361815.07117,-1981431507.47429,2399684007.88576,-1481065545.56427,2391767117.11256,-980243164.807613,2383847815.23758,-1973544911.89405,2899552081.34734,-1473233887.83709,2891547436.8367,-972689702.205646,2883337604.56184
19458990.7707168,2412699083.68852,-1988816498.31777,1945094519.29542,-1488492652.24163,1937119876.98151,-987924499.645585,1929355647.75808,-1980724216.17981,2444957262.05801,-1480344312.833,2436890921.01073,-979490590.596606,2428822029.60592,-1972689375.68666,2944820313.57682,-1472366512.15788,2936662881.88914,-971801619.581755,2928292419.35316
20186350.9577022,2457374713.43058,-1988246358.51039,1990372693.32417,-1487910396.49709,1982252029.89386,-987320966.445065,1974349622.47117,-1980003705.76203,2490230303.0068,-1479609600.29492,2482014507.47967,-978723949.588097,2473796017.0671,-1971820641.55829,2990088238.91451,-1471485717.68697,2981777953.8005,-970899732.203031,2973246646.57542
20927055.9919578,2502050123.93346,-1987663017.79362,2035650744.48821,-1487314716.92853,2027384118.96391,-986703616.64562,2019343735.09264,-1979269976.29178,2535503126.78406,-1478861408.01551,2527137872.49328,-977943241.782568,2518769773.41805,-1970938709.60722,3035355853.42039,-1470591504.53678,3026892648.56503,-969984040.210197,3018200282.09474
21681105.807419,2546725311.21134,-1987066476.21103,2080928668.8431,-1486705613.55623,2072516140.18008,-986072450.170407,2064337981.50482,-1978523027.84117,2580775729.44171,-1478099736.06146,2572261012.02547,-977148467.180503,2563743294.45559,-1970043579.93303,3080623153.1545,-1469683872.82094,3072006962.17706,-969054543.744561,3063153321.7771
